Year,Month,DayOfWeek,IATA_Code_Marketing_Airline,CRSDepTime,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,LateAircraftDelay,Delay_Category
2024,1,1,AA,1231,-11.0,-15.0,196.0,0.0,0.0,0.0,Green
2024,1,5,WN,1430,18.0,10.0,779.0,0.0,0.0,0.0,Green
2024,1,3,G4,1829,-12.0,-17.0,954.0,0.0,0.0,0.0,Green
2024,1,6,DL,640,-7.0,-9.0,214.0,0.0,0.0,0.0,Green
2024,1,3,DL,1905,0.0,8.0,404.0,0.0,0.0,0.0,Green
2024,1,3,UA,1415,-8.0,-23.0,383.0,0.0,0.0,0.0,Green
2024,1,5,G4,750,2.0,-8.0,1101.0,0.0,0.0,0.0,Green
2024,1,1,AS,1326,126.0,128.0,387.0,0.0,0.0,126.0,Red
2024,1,7,AA,1330,0.0,13.0,783.0,0.0,0.0,0.0,Green
2024,1,2,DL,1145,-10.0,-32.0,641.0,0.0,0.0,0.0,Green
2024,1,6,WN,1250,1.0,-7.0,407.0,0.0,0.0,0.0,Green
2024,1,2,WN,1920,71.0,58.0,419.0,0.0,0.0,58.0,Orange
2024,1,3,B6,800,-10.0,-16.0,427.0,0.0,0.0,0.0,Green
2024,1,1,AA,1212,181.0,163.0,212.0,163.0,0.0,0.0,Red
2024,1,3,UA,1740,-5.0,-19.0,1015.0,0.0,0.0,0.0,Green
2024,1,5,B6,1937,57.0,74.0,590.0,5.0,0.0,52.0,Red
2024,1,7,AA,520,-7.0,-18.0,599.0,0.0,0.0,0.0,Green
2024,1,1,AA,1742,-5.0,-6.0,110.0,0.0,0.0,0.0,Green
2024,1,3,B6,615,-1.0,-17.0,946.0,0.0,0.0,0.0,Green
2024,1,1,WN,935,6.0,13.0,327.0,0.0,0.0,0.0,Green
2024,1,5,DL,750,-4.0,-10.0,1814.0,0.0,0.0,0.0,Green
2024,1,3,UA,1225,-6.0,-24.0,937.0,0.0,0.0,0.0,Green
2024,1,5,WN,1725,-1.0,-12.0,390.0,0.0,0.0,0.0,Green
2024,1,1,UA,1540,-4.0,-20.0,612.0,0.0,0.0,0.0,Green
2024,1,2,DL,844,7.0,3.0,461.0,0.0,0.0,0.0,Green
2024,1,4,WN,1815,-5.0,-18.0,583.0,0.0,0.0,0.0,Green
2024,1,2,AA,1613,-5.0,16.0,549.0,0.0,0.0,0.0,Orange
2024,1,1,AA,1524,-2.0,-15.0,814.0,0.0,0.0,0.0,Green
2024,1,3,B6,625,-1.0,-11.0,1598.0,0.0,0.0,0.0,Green
2024,1,4,WN,1115,1.0,-11.0,895.0,0.0,0.0,0.0,Green
2024,1,3,UA,1108,-6.0,-13.0,1882.0,0.0,0.0,0.0,Green
2024,1,5,AA,518,-4.0,-8.0,1121.0,0.0,0.0,0.0,Green
2024,1,6,UA,2015,27.0,4.0,416.0,0.0,0.0,0.0,Green
2024,1,7,WN,1450,72.0,65.0,1246.0,15.0,0.0,50.0,Red
2024,1,5,WN,935,27.0,32.0,990.0,27.0,0.0,0.0,Orange
2024,1,1,AA,1008,54.0,58.0,1430.0,0.0,30.0,24.0,Orange
2024,1,4,WN,1650,-1.0,-11.0,304.0,0.0,0.0,0.0,Green
2024,1,7,NK,2139,0.0,-7.0,236.0,0.0,0.0,0.0,Green
2024,1,1,DL,630,-4.0,-17.0,214.0,0.0,0.0,0.0,Green
2024,1,2,G4,1057,-14.0,-43.0,954.0,0.0,0.0,0.0,Green
2024,1,4,AA,1330,45.0,12.0,1047.0,0.0,0.0,0.0,Green
2024,1,3,UA,1520,-10.0,-4.0,466.0,0.0,0.0,0.0,Green
2024,1,3,WN,2130,0.0,-13.0,192.0,0.0,0.0,0.0,Green
2024,1,7,UA,1857,-5.0,-19.0,319.0,0.0,0.0,0.0,Green
2024,1,5,F9,600,-5.0,-15.0,258.0,0.0,0.0,0.0,Green
2024,1,5,AA,850,68.0,135.0,1440.0,0.0,68.0,0.0,Red
2024,1,5,DL,1515,-4.0,-3.0,250.0,0.0,0.0,0.0,Green
2024,1,4,WN,1245,21.0,17.0,1546.0,3.0,0.0,14.0,Orange
2024,1,1,WN,1555,10.0,20.0,1491.0,8.0,0.0,2.0,Orange
2024,1,6,AA,703,-7.0,-13.0,247.0,0.0,0.0,0.0,Green
2024,1,5,AS,1856,56.0,53.0,433.0,0.0,0.0,53.0,Orange
2024,1,4,AA,1559,0.0,12.0,1389.0,0.0,0.0,0.0,Green
2024,1,6,UA,750,9.0,-8.0,2007.0,0.0,0.0,0.0,Green
2024,1,7,DL,1830,-1.0,-17.0,887.0,0.0,0.0,0.0,Green
2024,1,3,AA,1232,14.0,15.0,773.0,14.0,0.0,0.0,Orange
2024,1,6,AA,610,-4.0,-14.0,1438.0,0.0,0.0,0.0,Green
2024,1,2,WN,845,-1.0,-7.0,371.0,0.0,0.0,0.0,Green
2024,1,3,WN,1210,5.0,5.0,1482.0,0.0,0.0,0.0,Green
2024,1,6,F9,1541,67.0,70.0,1089.0,0.0,0.0,67.0,Red
2024,1,5,AA,656,-5.0,53.0,597.0,0.0,0.0,0.0,Orange
2024,1,4,AA,1551,-8.0,-14.0,491.0,0.0,0.0,0.0,Green
2024,1,6,AS,1020,-4.0,-10.0,250.0,0.0,0.0,0.0,Green
2024,1,3,WN,900,-6.0,-22.0,304.0,0.0,0.0,0.0,Green
2024,1,3,DL,1225,-13.0,-48.0,1087.0,0.0,0.0,0.0,Green
2024,1,6,WN,1415,52.0,34.0,925.0,5.0,0.0,29.0,Orange
2024,1,6,WN,955,2.0,-8.0,338.0,0.0,0.0,0.0,Green
2024,1,3,UA,1420,-7.0,-24.0,623.0,0.0,0.0,0.0,Green
2024,1,3,WN,1255,7.0,-10.0,842.0,0.0,0.0,0.0,Green
2024,1,7,NK,2005,63.0,67.0,674.0,59.0,0.0,0.0,Red
2024,1,1,UA,2005,-2.0,20.0,139.0,0.0,0.0,0.0,Orange
2024,1,4,WN,655,-6.0,2.0,223.0,0.0,0.0,0.0,Green
2024,1,2,UA,925,12.0,-2.0,1118.0,0.0,0.0,0.0,Green
2024,1,5,AA,1443,-10.0,0.0,168.0,0.0,0.0,0.0,Green
2024,1,6,NK,710,-1.0,-6.0,973.0,0.0,0.0,0.0,Green
2024,1,4,UA,2150,-1.0,-9.0,316.0,0.0,0.0,0.0,Green
2024,1,2,AS,603,-7.0,-11.0,978.0,0.0,0.0,0.0,Green
2024,1,1,WN,1225,-2.0,-8.0,1506.0,0.0,0.0,0.0,Green
2024,1,5,WN,1045,31.0,38.0,247.0,0.0,0.0,31.0,Orange
2024,1,2,AA,1357,30.0,16.0,1081.0,1.0,0.0,15.0,Orange
2024,1,7,AA,1628,104.0,101.0,427.0,8.0,0.0,93.0,Red
2024,1,4,HA,2220,-5.0,-17.0,2556.0,0.0,0.0,0.0,Green
2024,1,1,WN,1110,-1.0,2.0,1226.0,0.0,0.0,0.0,Green
2024,1,5,AA,738,-11.0,-15.0,227.0,0.0,0.0,0.0,Green
2024,1,3,DL,1007,-1.0,-4.0,1086.0,0.0,0.0,0.0,Green
2024,1,4,NK,1018,46.0,38.0,197.0,0.0,0.0,38.0,Orange
2024,1,7,AA,834,-6.0,-8.0,482.0,0.0,0.0,0.0,Green
2024,1,7,WN,1835,8.0,-9.0,672.0,0.0,0.0,0.0,Green
2024,1,5,WN,2145,3.0,12.0,967.0,0.0,0.0,0.0,Green
2024,1,3,AA,1113,0.0,-12.0,1061.0,0.0,0.0,0.0,Green
2024,1,4,WN,955,-5.0,25.0,1246.0,0.0,0.0,0.0,Orange
2024,1,3,AA,1824,-4.0,-7.0,293.0,0.0,0.0,0.0,Green
2024,1,4,UA,1413,-7.0,-16.0,409.0,0.0,0.0,0.0,Green
2024,1,6,NK,1015,45.0,58.0,1173.0,15.0,0.0,30.0,Orange
2024,1,3,AS,1845,-5.0,9.0,1050.0,0.0,0.0,0.0,Green
2024,1,2,WN,1600,12.0,-8.0,226.0,0.0,0.0,0.0,Green
2024,1,2,F9,1055,-7.0,-24.0,1055.0,0.0,0.0,0.0,Green
2024,1,7,AA,1643,-10.0,-15.0,437.0,0.0,0.0,0.0,Green
2024,1,2,AA,1448,-4.0,-11.0,328.0,0.0,0.0,0.0,Green
2024,1,2,NK,2231,6.0,-16.0,1185.0,0.0,0.0,0.0,Green
2024,1,2,WN,950,11.0,-3.0,775.0,0.0,0.0,0.0,Green
2024,1,3,F9,1525,-15.0,-27.0,985.0,0.0,0.0,0.0,Green
2024,1,7,DL,930,2.0,-14.0,1089.0,0.0,0.0,0.0,Green
2024,1,7,WN,1730,17.0,23.0,829.0,11.0,0.0,6.0,Orange
2024,1,7,F9,615,-6.0,18.0,606.0,0.0,0.0,0.0,Orange
2024,1,2,UA,59,-10.0,-16.0,1440.0,0.0,0.0,0.0,Green
2024,1,1,AA,1254,-7.0,-18.0,1085.0,0.0,0.0,0.0,Green
2024,1,4,DL,840,-4.0,-31.0,760.0,0.0,0.0,0.0,Green
2024,1,2,UA,1123,-6.0,-17.0,196.0,0.0,0.0,0.0,Green
2024,1,4,UA,1725,-3.0,-15.0,296.0,0.0,0.0,0.0,Green
2024,1,5,UA,845,-2.0,-7.0,334.0,0.0,0.0,0.0,Green
2024,1,6,DL,1522,-4.0,-8.0,334.0,0.0,0.0,0.0,Green
2024,1,7,F9,830,-6.0,-2.0,742.0,0.0,0.0,0.0,Green
2024,1,6,AA,1437,-10.0,13.0,640.0,0.0,0.0,0.0,Green
2024,1,7,WN,710,-5.0,-9.0,197.0,0.0,0.0,0.0,Green
2024,1,3,UA,1625,28.0,17.0,595.0,17.0,0.0,0.0,Orange
2024,1,3,DL,1235,0.0,-7.0,223.0,0.0,0.0,0.0,Green
2024,1,3,NK,1640,1.0,-24.0,895.0,0.0,0.0,0.0,Green
2024,1,1,DL,2259,-5.0,-14.0,106.0,0.0,0.0,0.0,Green
2024,1,1,WN,615,-1.0,-11.0,100.0,0.0,0.0,0.0,Green
2024,1,4,WN,1245,-3.0,-20.0,391.0,0.0,0.0,0.0,Green
2024,1,6,WN,1505,28.0,11.0,882.0,0.0,0.0,0.0,Green
2024,1,4,DL,1234,-1.0,-18.0,907.0,0.0,0.0,0.0,Green
2024,1,4,AA,2017,-5.0,-14.0,213.0,0.0,0.0,0.0,Green
2024,1,7,WN,1700,70.0,56.0,345.0,42.0,0.0,14.0,Orange
2024,1,3,DL,1005,-3.0,-18.0,903.0,0.0,0.0,0.0,Green
2024,1,1,AS,1925,-9.0,-12.0,261.0,0.0,0.0,0.0,Green
2024,1,5,AA,2057,998.0,991.0,1723.0,0.0,0.0,134.0,Red
2024,1,3,DL,835,-3.0,-5.0,874.0,0.0,0.0,0.0,Green
2024,1,2,DL,1245,-8.0,-31.0,334.0,0.0,0.0,0.0,Green
2024,1,3,DL,1445,-7.0,-10.0,860.0,0.0,0.0,0.0,Green
2024,1,5,WN,1935,-2.0,-12.0,793.0,0.0,0.0,0.0,Green
2024,1,5,AA,1243,24.0,-3.0,1389.0,0.0,0.0,0.0,Green
2024,1,3,UA,818,-1.0,-4.0,674.0,0.0,0.0,0.0,Green
2024,1,3,DL,1730,159.0,132.0,533.0,0.0,0.0,132.0,Red
2024,1,3,AA,1040,-10.0,-27.0,364.0,0.0,0.0,0.0,Green
2024,1,4,NK,2100,-10.0,-21.0,920.0,0.0,0.0,0.0,Green
2024,1,1,AA,650,6.0,6.0,408.0,0.0,0.0,0.0,Green
2024,1,1,UA,1440,40.0,32.0,679.0,10.0,0.0,22.0,Orange
2024,1,7,AA,1307,33.0,25.0,736.0,5.0,0.0,20.0,Orange
2024,1,1,DL,615,-10.0,-21.0,866.0,0.0,0.0,0.0,Green
2024,1,3,AA,1003,-4.0,-6.0,1788.0,0.0,0.0,0.0,Green
2024,1,2,WN,1050,0.0,-6.0,515.0,0.0,0.0,0.0,Green
2024,1,5,AA,1618,24.0,27.0,1849.0,24.0,0.0,0.0,Orange
2024,1,4,DL,1630,-3.0,-8.0,932.0,0.0,0.0,0.0,Green
2024,1,4,AS,641,122.0,117.0,1024.0,117.0,0.0,0.0,Red
2024,1,2,WN,1505,-6.0,-13.0,738.0,0.0,0.0,0.0,Green
2024,1,3,AA,1828,-3.0,3.0,606.0,0.0,0.0,0.0,Green
2024,1,3,AA,830,-5.0,-52.0,2153.0,0.0,0.0,0.0,Green
2024,1,2,B6,1800,-14.0,-34.0,184.0,0.0,0.0,0.0,Green
2024,1,1,AS,1249,-1.0,-7.0,1770.0,0.0,0.0,0.0,Green
2024,1,3,AA,1724,-11.0,-42.0,479.0,0.0,0.0,0.0,Green
2024,1,7,AA,1830,-5.0,-1.0,1001.0,0.0,0.0,0.0,Green
2024,1,3,AA,1202,-4.0,-8.0,444.0,0.0,0.0,0.0,Green
2024,1,2,WN,1120,-7.0,-24.0,551.0,0.0,0.0,0.0,Green
2024,1,1,AS,600,-13.0,-19.0,1448.0,0.0,0.0,0.0,Green
2024,1,2,F9,550,-7.0,6.0,770.0,0.0,0.0,0.0,Green
2024,1,6,B6,2030,-16.0,-31.0,399.0,0.0,0.0,0.0,Green
2024,1,1,UA,1105,-9.0,-44.0,264.0,0.0,0.0,0.0,Green
2024,1,5,AA,2218,4.0,-10.0,310.0,0.0,0.0,0.0,Green
2024,1,3,DL,1330,592.0,577.0,532.0,577.0,0.0,0.0,Red
2024,1,7,UA,1002,-4.0,-20.0,563.0,0.0,0.0,0.0,Green
2024,1,2,AA,1530,-11.0,-19.0,677.0,0.0,0.0,0.0,Green
2024,1,2,AA,1106,-5.0,-16.0,75.0,0.0,0.0,0.0,Green
2024,1,2,WN,1940,6.0,-2.0,991.0,0.0,0.0,0.0,Green
2024,1,2,WN,1635,31.0,9.0,1984.0,0.0,0.0,0.0,Green
2024,1,5,B6,745,-8.0,-23.0,950.0,0.0,0.0,0.0,Green
2024,1,7,UA,2240,-8.0,-24.0,2393.0,0.0,0.0,0.0,Green
2024,1,2,B6,1859,14.0,1.0,236.0,0.0,0.0,0.0,Green
2024,1,2,DL,2113,-4.0,-22.0,402.0,0.0,0.0,0.0,Green
2024,1,1,WN,1925,-9.0,-8.0,325.0,0.0,0.0,0.0,Green
2024,1,2,NK,1450,-8.0,-19.0,1363.0,0.0,0.0,0.0,Green
2024,1,3,UA,800,-9.0,17.0,719.0,0.0,0.0,0.0,Orange
2024,1,4,DL,1335,-6.0,0.0,728.0,0.0,0.0,0.0,Green
2024,1,4,WN,1410,15.0,11.0,533.0,0.0,0.0,0.0,Green
2024,1,3,DL,2050,-8.0,-37.0,483.0,0.0,0.0,0.0,Green
2024,1,6,WN,625,-7.0,-7.0,680.0,0.0,0.0,0.0,Green
2024,1,7,B6,1216,-6.0,-5.0,1674.0,0.0,0.0,0.0,Green
2024,1,1,B6,1146,-12.0,-14.0,2248.0,0.0,0.0,0.0,Green
2024,1,4,AA,1223,11.0,7.0,396.0,0.0,0.0,0.0,Green
2024,1,3,AA,1246,4.0,31.0,622.0,4.0,0.0,0.0,Orange
2024,1,4,WN,1755,12.0,-5.0,369.0,0.0,0.0,0.0,Green
2024,1,5,DL,1045,-10.0,-17.0,612.0,0.0,0.0,0.0,Green
2024,1,3,UA,1614,0.0,-8.0,191.0,0.0,0.0,0.0,Green
2024,1,7,UA,827,45.0,30.0,748.0,0.0,30.0,0.0,Orange
2024,1,4,DL,1539,16.0,12.0,640.0,0.0,0.0,0.0,Green
2024,1,1,UA,2115,-4.0,-21.0,3365.0,0.0,0.0,0.0,Green
2024,1,1,AA,930,-2.0,5.0,2133.0,0.0,0.0,0.0,Green
2024,1,5,AA,914,-8.0,-31.0,191.0,0.0,0.0,0.0,Green
2024,1,4,UA,1059,-8.0,-14.0,200.0,0.0,0.0,0.0,Green
2024,1,4,AA,1620,-10.0,-24.0,295.0,0.0,0.0,0.0,Green
2024,1,1,HA,1358,8.0,4.0,100.0,0.0,0.0,0.0,Green
2024,1,4,DL,820,-6.0,21.0,356.0,0.0,0.0,0.0,Orange
2024,1,6,NK,2250,-4.0,-27.0,1608.0,0.0,0.0,0.0,Green
2024,1,5,DL,1446,-2.0,3.0,1342.0,0.0,0.0,0.0,Green
2024,1,6,UA,755,-7.0,21.0,708.0,0.0,0.0,0.0,Orange
2024,1,3,HA,1303,1.0,2.0,84.0,0.0,0.0,0.0,Green
2024,1,4,DL,1713,-8.0,-13.0,515.0,0.0,0.0,0.0,Green
2024,1,3,DL,738,-3.0,-25.0,646.0,0.0,0.0,0.0,Green
2024,1,4,WN,615,-3.0,-4.0,189.0,0.0,0.0,0.0,Green
2024,1,7,DL,1020,0.0,-10.0,549.0,0.0,0.0,0.0,Green
2024,1,6,WN,1640,-3.0,-6.0,972.0,0.0,0.0,0.0,Green
2024,1,2,AA,1442,-2.0,-10.0,247.0,0.0,0.0,0.0,Green
2024,1,3,AA,1750,-5.0,-23.0,409.0,0.0,0.0,0.0,Green
2024,1,1,AA,847,-7.0,15.0,833.0,15.0,0.0,0.0,Orange
2024,1,1,WN,700,-5.0,-14.0,239.0,0.0,0.0,0.0,Green
2024,1,6,WN,1805,48.0,48.0,861.0,48.0,0.0,0.0,Orange
2024,1,3,AA,2216,2.0,3.0,1121.0,0.0,0.0,0.0,Green
2024,1,1,DL,740,5.0,4.0,1721.0,0.0,0.0,0.0,Green
2024,1,1,AA,1554,4.0,33.0,986.0,4.0,0.0,0.0,Orange
2024,1,1,WN,1755,11.0,-2.0,990.0,0.0,0.0,0.0,Green
2024,1,6,WN,1720,59.0,44.0,541.0,19.0,0.0,25.0,Orange
2024,1,4,UA,1200,13.0,-24.0,1416.0,0.0,0.0,0.0,Green
2024,1,3,WN,720,-3.0,-27.0,1121.0,0.0,0.0,0.0,Green
2024,1,3,UA,1900,0.0,-1.0,337.0,0.0,0.0,0.0,Green
2024,1,5,WN,1850,-5.0,-4.0,439.0,0.0,0.0,0.0,Green
2024,1,4,UA,1003,-5.0,-9.0,1014.0,0.0,0.0,0.0,Green
2024,1,6,AA,1602,-2.0,2.0,874.0,0.0,0.0,0.0,Green
2024,1,6,WN,1100,-4.0,-17.0,869.0,0.0,0.0,0.0,Green
2024,1,2,WN,1045,5.0,6.0,353.0,0.0,0.0,0.0,Green
2024,1,2,G4,900,-7.0,-18.0,882.0,0.0,0.0,0.0,Green
2024,1,7,DL,1009,-2.0,-35.0,1426.0,0.0,0.0,0.0,Green
2024,1,7,AA,819,-2.0,37.0,738.0,0.0,0.0,0.0,Orange
2024,1,1,AA,1812,-3.0,6.0,413.0,0.0,0.0,0.0,Green
2024,1,6,UA,1000,-7.0,-2.0,1278.0,0.0,0.0,0.0,Green
2024,1,5,WN,1415,22.0,18.0,1184.0,1.0,0.0,17.0,Orange
2024,1,2,WN,1610,43.0,69.0,1242.0,1.0,0.0,42.0,Red
2024,1,6,AS,740,-10.0,-12.0,508.0,0.0,0.0,0.0,Green
2024,1,4,WN,1510,-5.0,-15.0,100.0,0.0,0.0,0.0,Green
2024,1,6,DL,1545,17.0,40.0,1124.0,17.0,0.0,0.0,Orange
2024,1,7,B6,835,35.0,8.0,496.0,0.0,0.0,0.0,Green
2024,1,2,AA,820,-8.0,-36.0,888.0,0.0,0.0,0.0,Green
2024,1,3,WN,1725,53.0,52.0,281.0,52.0,0.0,0.0,Orange
2024,1,4,AA,1136,-2.0,-15.0,1061.0,0.0,0.0,0.0,Green
2024,1,1,WN,1655,25.0,19.0,925.0,3.0,0.0,16.0,Orange
2024,1,2,DL,855,15.0,13.0,1919.0,0.0,0.0,0.0,Green
2024,1,3,DL,2225,-4.0,-6.0,481.0,0.0,0.0,0.0,Green
2024,1,4,UA,1750,-4.0,-16.0,177.0,0.0,0.0,0.0,Green
2024,1,6,AA,1005,1.0,-4.0,490.0,0.0,0.0,0.0,Green
2024,1,4,WN,1500,2.0,13.0,715.0,0.0,0.0,0.0,Green
2024,1,7,UA,1535,-8.0,-20.0,1346.0,0.0,0.0,0.0,Green
2024,1,5,DL,2159,79.0,101.0,207.0,60.0,0.0,19.0,Red
2024,1,7,AA,1239,-1.0,-4.0,1192.0,0.0,0.0,0.0,Green
2024,1,2,UA,725,-10.0,-34.0,604.0,0.0,0.0,0.0,Green
2024,1,1,WN,600,26.0,17.0,1290.0,17.0,0.0,0.0,Orange
2024,1,1,UA,1235,-2.0,-27.0,322.0,0.0,0.0,0.0,Green
2024,1,3,WN,550,-4.0,-3.0,764.0,0.0,0.0,0.0,Green
2024,1,2,DL,730,-11.0,-12.0,605.0,0.0,0.0,0.0,Green
2024,1,5,WN,940,2.0,12.0,368.0,0.0,0.0,0.0,Green
2024,1,4,B6,1250,-4.0,-26.0,1035.0,0.0,0.0,0.0,Green
2024,1,6,AA,1510,38.0,38.0,304.0,26.0,0.0,12.0,Orange
2024,1,4,DL,1130,-3.0,-10.0,554.0,0.0,0.0,0.0,Green
2024,1,2,DL,1830,1.0,-13.0,404.0,0.0,0.0,0.0,Green
2024,1,1,DL,900,0.0,4.0,963.0,0.0,0.0,0.0,Green
2024,1,5,DL,600,-3.0,-7.0,198.0,0.0,0.0,0.0,Green
2024,1,4,UA,1557,0.0,-29.0,725.0,0.0,0.0,0.0,Green
2024,1,1,DL,1100,-4.0,-23.0,223.0,0.0,0.0,0.0,Green
2024,1,2,AA,845,-5.0,0.0,134.0,0.0,0.0,0.0,Green
2024,1,1,UA,1945,-3.0,-19.0,316.0,0.0,0.0,0.0,Green
2024,1,2,UA,2025,-7.0,-20.0,305.0,0.0,0.0,0.0,Green
2024,1,7,WN,705,-1.0,-15.0,874.0,0.0,0.0,0.0,Green
2024,1,6,AA,1741,53.0,43.0,507.0,0.0,0.0,43.0,Orange
2024,1,2,DL,1826,5.0,1.0,508.0,0.0,0.0,0.0,Green
2024,1,2,AA,500,0.0,-12.0,1192.0,0.0,0.0,0.0,Green
2024,1,4,F9,807,74.0,75.0,304.0,74.0,0.0,0.0,Red
2024,1,5,WN,1435,4.0,-10.0,362.0,0.0,0.0,0.0,Green
2024,1,4,DL,2155,-3.0,-10.0,484.0,0.0,0.0,0.0,Green
2024,1,5,AA,2238,-2.0,-10.0,309.0,0.0,0.0,0.0,Green
2024,1,5,AA,2200,19.0,14.0,325.0,0.0,0.0,0.0,Green
2024,1,6,UA,1503,-2.0,-25.0,781.0,0.0,0.0,0.0,Green
2024,1,2,AA,1516,90.0,79.0,338.0,3.0,0.0,76.0,Red
2024,1,6,DL,1330,4.0,-19.0,1978.0,0.0,0.0,0.0,Green
2024,1,4,DL,825,-6.0,28.0,223.0,0.0,0.0,0.0,Orange
2024,1,2,UA,610,-9.0,-21.0,1167.0,0.0,0.0,0.0,Green
2024,1,7,WN,805,-4.0,-5.0,842.0,0.0,0.0,0.0,Green
2024,1,7,AA,950,-11.0,-25.0,534.0,0.0,0.0,0.0,Green
2024,1,2,F9,700,-7.0,-40.0,951.0,0.0,0.0,0.0,Green
2024,1,7,AA,1005,-4.0,24.0,1797.0,0.0,0.0,0.0,Orange
2024,1,2,WN,830,-8.0,-17.0,753.0,0.0,0.0,0.0,Green
2024,1,2,DL,2239,26.0,23.0,377.0,11.0,0.0,12.0,Orange
2024,1,3,B6,1105,-3.0,-15.0,2588.0,0.0,0.0,0.0,Green
2024,1,4,WN,1820,40.0,24.0,862.0,7.0,0.0,17.0,Orange
2024,1,7,AA,1253,-12.0,-18.0,88.0,0.0,0.0,0.0,Green
2024,1,7,F9,1923,-5.0,-9.0,1576.0,0.0,0.0,0.0,Green
2024,1,6,AA,1725,-9.0,-1.0,1067.0,0.0,0.0,0.0,Green
2024,1,4,AA,1035,-3.0,-16.0,280.0,0.0,0.0,0.0,Green
2024,1,2,AA,1619,45.0,41.0,447.0,0.0,32.0,9.0,Orange
2024,1,7,AS,1025,-2.0,-2.0,1660.0,0.0,0.0,0.0,Green
2024,1,5,AS,1955,-5.0,-7.0,630.0,0.0,0.0,0.0,Green
2024,1,2,UA,550,-3.0,-38.0,296.0,0.0,0.0,0.0,Green
2024,1,3,AA,1335,30.0,28.0,1089.0,10.0,0.0,18.0,Orange
2024,1,1,UA,1420,-1.0,-11.0,667.0,0.0,0.0,0.0,Green
2024,1,7,WN,1625,2.0,17.0,721.0,0.0,0.0,0.0,Orange
2024,1,5,WN,1235,11.0,18.0,328.0,2.0,0.0,9.0,Orange
2024,1,2,AA,600,38.0,31.0,843.0,31.0,0.0,0.0,Orange
